is_explicit,duration_ms,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_ms,time_signature
False,197044,197045,41,0.691,0.519,0,-7.77,1,0.0353,0.686,0.0767,0.269,0.117,125.008,197044,197045,4
False,181477,181478,81,0.69,0.89,0,-4.866,0,0.0507,0.00903,1.61e-05,0.188,0.713,124.018,181477,181478,4
False,180842,180843,65,0.587,0.722,2,-6.983,0,0.0709,0.000754,0.668,0.543,0.466,121.964,180842,180843,4
False,139563,139563,72,0.734,0.855,6,-4.578,0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,139563,139563,4
False,198773,198773,83,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,198773,3
False,176561,176561,78,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,176561,4
True,222522,222523,72,0.965,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,222522,222523,4
False,238200,238200,75,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,238200,238200,4
False,241970,241970,74,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,241970,4
False,150052,150053,80,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,150052,150053,4
False,148124,148125,62,0.609,0.957,11,-3.046,0,0.0531,0.0092,1.35e-05,0.201,0.486,128.066,148124,148125,4
False,189671,189672,72,0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01,189671,189672,4
False,140017,140018,88,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140017,140018,4
True,162802,162803,80,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,162802,162803,4
False,172252,172253,81,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172252,172253,4
False,201938,201939,58,0.832,0.876,6,-5.124,0,0.205,0.173,0.737,0.162,0.635,120.057,201938,201939,4
True,287120,287120,83,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,287120,4
False,202173,202173,67,0.772,0.7,1,-7.285,1,0.0332,0.00585,0.49,0.0745,0.426,126.017,202173,202173,4
False,169266,169267,53,0.704,0.669,0,-5.691,1,0.0309,0.0862,0.348,0.108,0.305,121.005,169266,169267,4
False,148197,148197,83,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,148197,4
False,196000,196000,69,0.723,0.57,9,-8.589,0,0.0429,0.00412,0.00183,0.0862,0.575,123.979,196000,196000,4
False,203000,203000,83,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,203000,203000,4
False,186661,186662,84,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,186661,186662,4
False,188986,188987,47,0.903,0.545,1,-6.896,1,0.05,0.0226,8.2e-06,0.0571,0.87,124.011,188986,188987,4
False,164009,164010,77,0.659,0.615,11,-5.865,0,0.0644,0.27,0.0,0.187,0.193,119.843,164009,164010,4
False,390638,390639,66,0.662,0.657,7,-10.002,1,0.0345,0.289,0.868,0.103,0.0563,117.986,390638,390639,4
False,246080,246080,47,0.678,0.892,7,-6.005,1,0.0421,0.00559,0.0156,0.14,0.329,118.017,246080,246080,4
False,208133,208133,79,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.00143,0.0829,0.45,119.994,208133,208133,4
False,276600,276600,53,0.876,0.731,8,-5.823,0,0.0329,0.0174,0.101,0.107,0.7,119.009,276600,276600,4
True,176218,176219,69,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176218,176219,4
False,169153,169153,81,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,169153,4
False,167303,167303,95,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,167303,4
False,213309,213309,78,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,213309,4
False,128500,128500,63,0.727,0.904,10,-3.408,0,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,128500,4
False,169997,169998,65,0.795,0.885,8,-4.13,1,0.0715,0.0375,0.00638,0.292,0.46,126.037,169997,169998,4
False,168704,168705,50,0.641,0.863,7,-3.864,0,0.0321,0.0152,0.088,0.274,0.36,128.035,168704,168705,4
False,214912,214912,78,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,214912,214912,4
True,179760,179760,71,0.889,0.716,7,-6.146,1,0.0708,0.0595,0.0409,0.168,0.296,128.022,179760,179760,4
False,172142,172143,60,0.737,0.927,7,-4.0,1,0.0441,0.0195,0.000278,0.197,0.8,126.015,172142,172143,4
False,173008,211348,78,0.723,0.698,10,-6.162,1,0.0659,0.18,0.0,0.797,0.317,126.001,173008,211348,4
False,177689,177689,79,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034,177689,177689,4
False,210093,210093,71,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,210093,210093,4
False,131172,131172,57,0.52,0.935,2,-3.713,0,0.0482,0.0018,0.00047,0.302,0.0797,144.994,131172,131172,4
False,200040,200040,93,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,200040,4
False,177600,177600,46,0.623,0.833,4,-2.951,0,0.0557,0.0191,0.0174,0.331,0.411,124.973,177600,177600,4
False,186377,186377,43,0.553,0.963,10,-5.972,0,0.0889,0.171,0.00064,0.09,0.464,126.066,186377,186377,4
False,214846,214847,87,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214846,214847,4
False,151475,151475,83,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,151475,151475,4
False,169944,169945,70,0.836,0.846,0,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,122.042,169944,169945,4
False,210853,210853,68,0.74,0.831,5,-7.321,1,0.0456,0.444,0.00304,0.0769,0.448,121.034,210853,210853,4
True,202666,202667,62,0.718,0.67,8,-6.431,1,0.0504,0.531,0.0,0.103,0.539,129.972,202666,202667,4
True,176000,176000,76,0.765,0.764,7,-4.265,0,0.0542,0.168,0.000441,0.167,0.749,82.024,176000,176000,4
True,225733,225733,74,0.926,0.537,11,-8.247,0,0.342,0.0961,0.00101,0.0885,0.693,111.029,225733,225733,4
False,188484,188485,83,0.798,0.681,10,-4.818,0,0.0722,0.219,0.00197,0.137,0.434,101.005,188484,188485,4
True,221653,221653,62,0.73,0.559,5,-6.61,0,0.0394,0.335,0.00271,0.124,0.636,89.962,221653,221653,4
True,173586,173587,67,0.769,0.622,4,-8.066,0,0.155,0.431,0.0,0.0842,0.425,95.914,173586,173587,4
True,202186,202187,75,0.668,0.436,8,-7.932,0,0.391,0.174,0.0,0.0951,0.363,80.431,202186,202187,4
True,155878,155879,65,0.762,0.499,11,-7.376,0,0.0447,0.634,1.83e-06,0.07,0.541,94.888,155878,155879,4
True,168620,168620,81,0.765,0.717,10,-7.877,0,0.349,0.456,1.01e-05,0.126,0.695,120.025,168620,168620,4
True,158986,156747,65,0.544,0.821,9,-5.943,0,0.147,0.176,0.0,0.0717,0.884,169.401,158986,156747,3
True,187157,187157,66,0.72,0.673,8,-7.619,1,0.117,0.208,0.0,0.212,0.74,140.095,187157,187157,4
True,261320,261320,64,0.888,0.56,8,-7.0,0,0.0449,0.475,2.24e-06,0.114,0.859,139.971,261320,261320,4
True,175465,174572,62,0.771,0.759,5,-6.227,0,0.0797,0.255,6.74e-06,0.083,0.568,134.012,175465,174572,4
True,189829,189830,74,0.776,0.811,7,-4.571,0,0.0346,0.364,4.83e-05,0.21,0.659,125.027,189829,189830,4
True,206880,206880,56,0.785,0.608,5,-6.527,0,0.0433,0.276,0.0,0.0834,0.711,114.985,206880,206880,4
True,259627,259628,79,0.813,0.791,11,-6.899,0,0.111,0.316,0.000165,0.124,0.404,94.063,259627,259628,4
True,157625,157625,58,0.801,0.554,1,-7.932,1,0.0391,0.499,0.00422,0.11,0.518,109.991,157625,157625,4
True,171000,171000,60,0.655,0.569,6,-7.37,0,0.247,0.154,0.0,0.133,0.66,159.908,171000,171000,4
True,201533,201533,67,0.867,0.723,0,-4.276,1,0.125,0.281,0.0,0.0934,0.872,135.033,201533,201533,4
True,199939,199939,62,0.577,0.711,4,-5.812,0,0.229,0.139,0.0,0.0898,0.304,125.37,199939,199939,3
True,176853,176853,58,0.718,0.889,1,-3.082,1,0.0425,0.0607,0.0,0.0922,0.493,135.022,176853,176853,4
True,149133,149133,59,0.764,0.752,0,-5.214,0,0.0631,0.474,9.66e-06,0.0918,0.85,91.988,149133,149133,4
False,189090,189091,85,0.801,0.832,7,-4.579,0,0.208,0.677,2.86e-05,0.117,0.758,132.044,189090,189091,4
False,173419,173419,68,0.728,0.747,7,-5.983,1,0.275,0.572,0.00178,0.196,0.57,154.928,173419,173419,4
True,285360,285360,56,0.7,0.678,3,-6.064,1,0.26,0.52,0.0,0.082,0.855,95.993,285360,285360,4
True,154110,154111,57,0.664,0.532,8,-8.015,0,0.392,0.417,2.44e-05,0.204,0.614,94.97,154110,154111,4
True,199782,199782,55,0.812,0.698,2,-5.98,0,0.176,0.0424,0.0,0.227,0.472,123.951,199782,199782,4
True,180515,180516,60,0.862,0.639,0,-6.636,0,0.236,0.183,0.0,0.117,0.45,131.056,180515,180516,4
True,188786,188787,60,0.697,0.669,7,-5.528,1,0.328,0.0356,0.000262,0.139,0.555,179.877,188786,188787,4
True,134423,134424,57,0.875,0.695,2,-5.918,1,0.207,0.0894,6.52e-05,0.102,0.581,94.067,134423,134424,4
True,171754,160696,55,0.772,0.748,7,-3.795,0,0.0847,0.0361,7.09e-06,0.108,0.684,139.986,171754,160696,4
True,272830,272831,57,0.785,0.904,6,-5.271,0,0.214,0.116,4.54e-06,0.0693,0.671,139.998,272830,272831,4
True,182037,182038,68,0.572,0.565,1,-7.664,0,0.173,0.697,0.0,0.169,0.152,96.246,182037,182038,4
False,134612,134613,54,0.763,0.691,0,-4.088,0,0.196,0.371,0.0,0.106,0.654,94.008,134612,134613,4
False,145620,145620,71,0.505,0.594,11,-7.432,0,0.123,0.607,0.0,0.102,0.636,104.995,145620,145620,3
True,166299,166299,52,0.765,0.668,0,-5.44,0,0.0624,0.304,6.93e-06,0.0905,0.8,126.861,166299,166299,4
True,176129,176129,54,0.888,0.762,1,-7.713,1,0.145,0.216,0.0,0.107,0.495,123.971,176129,176129,4
True,160960,160960,56,0.899,0.612,3,-6.308,0,0.0467,0.0145,1.64e-06,0.118,0.859,127.004,160960,160960,4
True,174101,174101,52,0.714,0.516,8,-8.225,1,0.0423,0.0719,0.000174,0.0915,0.486,127.03,174101,174101,4
False,166914,166914,55,0.86,0.68,1,-4.312,0,0.11,0.213,1.08e-06,0.0447,0.297,106.014,166914,166914,4
True,197933,197933,83,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933,197933,4
True,157017,157018,81,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,157017,157018,4
False,219813,219813,78,0.811,0.781,11,-6.333,1,0.0428,0.376,0.001,0.121,0.824,107.007,219813,219813,4
False,262826,262827,51,0.894,0.775,5,-4.391,0,0.0725,0.0358,0.0343,0.105,0.951,120.049,262826,262827,4
False,252306,252307,86,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,252306,252307,4
False,190960,190960,80,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,190960,4
False,242680,242680,78,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.221,0.444,127.963,242680,242680,4
False,230906,230907,75,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007,230906,230907,4
False,223111,223112,78,0.627,0.954,2,-4.804,1,0.0425,0.0015,0.000814,0.292,0.312,128.016,223111,223112,4
False,269146,269147,57,0.819,0.759,10,-4.114,0,0.146,0.0193,6.89e-06,0.0613,0.884,108.029,269146,269147,4
False,254720,254720,79,0.804,0.56,1,-6.912,0,0.0397,0.416,0.0,0.0608,0.768,133.682,254720,254720,4
True,137875,137876,76,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,137875,137876,4
True,219187,219188,69,0.758,0.599,4,-5.99,0,0.0877,0.57,1.13e-06,0.129,0.557,129.96,219187,219188,4
False,232000,232000,70,0.87,0.712,11,-6.313,0,0.0432,0.0202,0.000331,0.0576,0.877,121.057,232000,232000,4
False,191000,191000,60,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,191000,191000,4
False,256240,256240,59,0.948,0.894,5,-4.301,0,0.0705,0.195,7.04e-05,0.063,0.766,125.04,256240,256240,4
False,262173,262173,72,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,129.993,262173,262173,4
False,247426,247427,89,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247426,247427,4
False,205906,205907,76,0.628,0.69,8,-5.83,1,0.0511,0.443,0.0,0.113,0.66,179.908,205906,205907,4
True,181733,181733,79,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,181733,4
False,247520,247520,61,0.725,0.68,8,-5.465,1,0.0306,0.162,2.13e-06,0.158,0.76,119.939,247520,247520,4
False,229360,229360,82,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360,229360,4
False,218093,218093,87,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,218093,218093,4
False,239986,239987,84,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,239986,239987,4
False,248413,248413,83,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,248413,4
False,195546,195547,81,0.792,0.717,0,-4.759,0,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,195546,195547,4
False,222653,222653,72,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,222653,4
False,193295,193296,58,0.697,0.621,9,-6.886,0,0.25,0.0802,0.0,0.162,0.721,81.946,193295,193296,4
False,289133,289133,78,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,289133,289133,4
False,192294,192294,78,0.498,0.862,7,-6.02,0,0.0589,0.000313,0.00941,0.352,0.47,128.034,192294,192294,4
False,189413,189413,77,0.763,0.875,9,-5.797,0,0.0262,0.024,5.41e-06,0.599,0.8,123.013,189413,189413,4
False,207466,207467,72,0.756,0.8,5,-5.158,1,0.0329,0.211,0.000724,0.0466,0.967,118.924,207466,207467,4
True,266986,266987,62,0.479,0.906,0,-4.03,0,0.188,0.0406,0.0,0.051,0.536,155.887,266986,266987,4
False,185194,185195,75,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185194,185195,4
True,263826,263827,78,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,263826,263827,4
False,193400,193400,75,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,193400,4
False,206066,206067,81,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,206066,206067,4
True,195853,195853,69,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,195853,195853,4
