artist_id,artist_name,track_id,track_name,album_release_date,album_release_date_precision,is_explicit,duration_ms,popularity
5ypoEsxvCfwoM8dWqpRQhq,Shamoryo,6YLlHjowYdcrULkRk4r4Ga,Jubel,1900-01-01,day,False,197044,41
2WBJQGf1bT1kxuoqziH5g4,Purple Disco Machine,2F2p7b5Xq20mRyEeWYaeUF,Substitution (feat. Julian Perretta),2023-03-30,day,False,181477,81
3MyFDtqB80WZvbtCZRsekM,Bakermat,17B9XlyyYDKkTmPay4z02V,Baianá,2020-10-09,day,False,180842,65
4AKwRarlmsUlLjIwt38NLw,Ofenbach,1cYyZ1N98GyRS3cMcccFHd,Wasted Love (feat. Lagique),2022-09-02,day,False,139563,72
33ScadVnbm2X8kkUqOkC6Z,Don Omar,2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,2010-01-01,day,False,198773,83
738wLrAtLtCtFOLvQBXOXp,Major Lazer,01aTsQoKoeXofSTvKuunzv,Lean On,2015-06-01,day,False,176561,78
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,2020-11-02,day,True,222522,72
4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,2018-10-05,day,False,238200,75
2TcGJdSOiOvITBzhvfX8XB,Shouse,6OufwUcCqo81guU2jAlDVP,Love Tonight (Edit),2017-12-14,day,False,241970,74
7jZM5w05mGhw6wTB1okhD9,ATB,5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),2021-01-15,day,False,150052,80
3g9yyIlJ0sIunQWJLmIYhn,Sound Of Legend,2xsRIYRAC0mXttKR4sZscl,Some Kind Of Kiss,2023-02-24,day,False,148124,62
7CajNmpbOovFoOoasH2HaY,Calvin Harris,0vR2rIVORmgeKiGIgNT0fV,By Your Side (feat. Tom Grennan),2021-06-04,day,False,189671,72
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,2023-04-06,day,False,140017,88
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,2021-01-15,day,True,162802,80
